detailCategory,detailSource,partner,period,paymentId,txnType,speedFlag,processingMethod,payerFunding,payeeFunding,payerCcy,payeeCcy,payerCountry,payeeCountry,accountId,paymentType,submissionDate,creditCompleteDate,creditCompleteMonth,payerEmail,payerBusinessName,payeeEmail,payeeBusinessName,creditRail,transactionProcessingMethodRaw,fundingMethodUsed,payeeAmountCurrency,payeeAmount,usdAmountDebited,paymentUsdEquivalentAmount,estRevenue,txnTypeRaw,isRTP,isFasterAch,partnerGroupSource,initiatorStatus,typeDefn,reversalDate,paymentPriority,stampliFxDirection,customerMarkupPct,stampliBuyRatePct,stampliMarkupPct,stampliMarkupPctCalculated,stampliMarkupPctUsed,stampliMarkupPctMatchesSheet,stampliMarkupAmount,stampliMarkupAmountProvided,stampliMarkupAmountCalculated,stampliMarkupAmountMatchesSheet,midMarketFallbackUsed
transaction,offline_billing,Stampli,2026-05,7355086,Domestic,Standard,ACH,Bank,Bank,USD,USD,US,US,1693025,payment,2026-04-28,2026-05-04,2026-05,264709278175813384036e99fde05f24df59533ab48989dcd04@stampli.com,"Infusion Center of Denver, LLC",vivoap-85a58a60-b43b-43a1-9a41-8e7316d01de9-USD@stampli.com,McKesson Specialty Distribution,CITI,Nacha,Bank,USD,11057.73,11057.73,11057.73,0,Domestic,false,false,Stampli,,,,,,,,,,,,,,,,
transaction,offline_billing,Stampli,2026-05,7337267,Domestic,Standard,ACH,Bank,Bank,USD,USD,US,US,1291502,payment,2026-04-25,2026-05-01,2026-05,953754404171112567921a7ce4c902e4bf2ac298fd572c626ef@stampli.com,Catholic Answers Inc,catholicanswers-79c34439-aaa6-4e4f-931d-8a9c848e5d2d-USD@stampli.com,Thomas Graf,CITI,Nacha,Bank,USD,200,200,200,0,Domestic,false,false,Stampli,,,,,,,,,,,,,,,,
transaction,offline_billing,Stampli,2026-05,7339966,Domestic,Standard,ACH,Bank,Bank,USD,USD,US,US,1875260,payment,2026-04-27,2026-05-01,2026-05,8509331691773896448864e46637b9c4a4abe992e015b5ae76a@stampli.com,LEC Event Technology,lec-9ea4f9f1-b32e-48ac-8a1e-3573398c074e-USD@stampli.com,Clark Reder,CITI,Nacha,Bank,USD,2000,2000,2000,0,Domestic,false,false,Stampli,,,,,,,,,,,,,,,,
transaction,offline_billing,Stampli,2026-05,7352402,Domestic,Standard,ACH,Bank,Bank,USD,USD,US,US,1874831,payment,2026-04-28,2026-05-04,2026-05,93281074117738658445f689b8791444ef88573e732f5469023@stampli.com,New River YMCA,newriver_4600-256c2023-d9fe-4e75-8a50-d3d9953c58fc-USD@stampli.com,Atlantic Contracting & Design Inc,CITI,Nacha,Bank,USD,134161.77,134161.77,134161.77,0,Domestic,false,false,Stampli,,,,,,,,,,,,,,,,
transaction,offline_billing,Stampli,2026-05,7343390,USD Abroad,Standard,Wire,Bank,Bank,USD,USD,US,CN,1457144,payment,2026-04-27,2026-05-01,2026-05,4604525721733499919585935ad9f8647c195f30b6daaec985b@stampli.com,"Phase Technologies, LLC",phasetechnologies-78e89578-8d89-42da-ada8-369a1a2cfed1-USD@stampli.com,QINGDAO PENGRUI MACHINERY CO L,CITI,Wire,Bank,USD,800,800,800,0,USD Abroad,false,false,Stampli,,,,,,,,,,,,,,,,
transaction,offline_billing,Stampli,2026-05,7354262,Domestic,Standard,ACH,Bank,Bank,USD,USD,US,US,1398663,payment,2026-04-28,2026-05-04,2026-05,4741219141725907143caf7a06eebd44e1180f9fe548d2bba9d@stampli.com,Sage Oak Charter Schools,sageoak-bd4abc7d-6c55-4647-86ca-7ac247c75705-USD@stampli.com,WM Music Lessons,CITI,Nacha,Bank,USD,70,70,70,0,Domestic,false,false,Stampli,,,,,,,,,,,,,,,,
transaction,offline_billing,Stampli,2026-05,7355079,Domestic,Standard,ACH,Bank,Bank,USD,USD,US,US,1695303,payment,2026-04-28,2026-05-04,2026-05,9329736061758291323d8a4878485714fe68fd5ffc6b3b9e7b8@stampli.com,Wisconsin Center for Infusion SC,vivoap-22ea5535-867c-447c-bd2d-901b8ee19651-USD@stampli.com,"HW Valencia Village, LLC",CITI,Nacha,Bank,USD,7270,7270,7270,0,Domestic,false,false,Stampli,,,,,,,,,,,,,,,,
transaction,offline_billing,Stampli,2026-05,7342313,Domestic,Standard,ACH,Bank,Bank,USD,USD,US,US,1326193,payment,2026-04-27,2026-05-01,2026-05,813933573171588420900fe20b185a346d3a046603898c4517e@stampli.com,"Science Interactive Group, LLC",sigap-12f93a9b-bb6f-4da6-87c0-0821fef717e0-USD@stampli.com,Isabelle Rush,CITI,Nacha,Bank,USD,700,700,700,0,Domestic,false,false,Stampli,,,,,,,,,,,,,,,,
transaction,offline_billing,Stampli,2026-05,7355246,Domestic,Standard,ACH,Bank,Bank,USD,USD,US,US,1904788,payment,2026-04-28,2026-05-04,2026-05,8626048691776177038e1cd9cfcf91a4cda9bbe0b6939a948a5@stampli.com,Harrisonburg Health,hrtgcs-833bf914-6a65-42cd-88db-2210e334060c-USD@stampli.com,Medline Industries Inc.,CITI,Nacha,Bank,USD,19781.05,19781.05,19781.05,0,Domestic,false,false,Stampli,,,,,,,,,,,,,,,,
transaction,offline_billing,Stampli,2026-05,7339764,Domestic,Standard,ACH,Bank,Bank,USD,USD,US,US,1664908,payment,2026-04-27,2026-05-01,2026-05,900955035175552383579613123422b45b3bd01df5571e68a52@stampli.com,BIG EAST Conference Inc,bigeast-f11b37bb-d33d-4ff0-9e59-577bf0983ec3-USD@stampli.com,Zoom Video Communications Inc.,CITI,Nacha,Bank,USD,6271.7,6271.7,6271.7,0,Domestic,false,false,Stampli,,,,,,,,,,,,,,,,
transaction,offline_billing,Stampli,2026-05,7348917,Domestic,Standard,ACH,Bank,Bank,USD,USD,US,US,1457144,payment,2026-04-28,2026-05-04,2026-05,4604525721733499919585935ad9f8647c195f30b6daaec985b@stampli.com,"Phase Technologies, LLC",phasetechnologies-b81664f2-aafb-4240-a561-e7225db61b0e-USD@stampli.com,"Alta Packaging, Inc.",CITI,Nacha,Bank,USD,2688.4,2688.4,2688.4,0,Domestic,false,false,Stampli,,,,,,,,,,,,,,,,
transaction,offline_billing,Stampli,2026-05,7341458,Domestic,Standard,ACH,Bank,Bank,USD,USD,US,US,1841085,payment,2026-04-27,2026-05-01,2026-05,8145404381770813496137a946464004eeebb8d94f44e4a86f6@stampli.com,"Intersect USA, LLC",intersect-88e34443-1242-4700-8850-ddca3469ec76-USD@stampli.com,Lloyd Rankin Harvey,CITI,Nacha,Bank,USD,8765.2,8765.2,8765.2,0,Domestic,false,false,Stampli,,,,,,,,,,,,,,,,
transaction,offline_billing,Stampli,2026-05,7343537,Domestic,Standard,ACH,Bank,Bank,USD,USD,US,US,1642333,payment,2026-04-27,2026-05-01,2026-05,2027949801753295484473490b15c5246b49fdd4d68cb87104c@stampli.com,3701 Algonquin Road LLC,marcrealty-acf768e2-acb3-47c2-91a1-13bf2769e29b-USD@stampli.com,CHEMCRAFT INDUSTRIES INC.,CITI,Nacha,Bank,USD,30.87,30.87,30.87,0,Domestic,false,false,Stampli,,,,,,,,,,,,,,,,
transaction,offline_billing,Stampli,2026-05,7341510,Domestic,Standard,ACH,Bank,Bank,USD,USD,US,US,1402135,payment,2026-04-27,2026-05-01,2026-05,7413884201726167632def3a85f9b6e4471bb0ffb96fb01305d@stampli.com,Morningside Ministries,mmliving-a9992a54-a9e0-4d6b-b27c-1e6cbca957d7-USD@stampli.com,Kelly Van Burkleo,CITI,Nacha,Bank,USD,81.11,81.11,81.11,0,Domestic,false,false,Stampli,,,,,,,,,,,,,,,,
transaction,offline_billing,Stampli,2026-05,7339707,Domestic,Standard,ACH,Bank,Bank,USD,USD,US,US,1478857,payment,2026-04-27,2026-05-01,2026-05,2701728601736696721d507b0c7097340e58c44d3ab350df7e2@stampli.com,HIS INTERNATIONAL GROUP LLC,bentexgroup-9b8ec1c2-3d87-47c8-ad68-7060d0114ce9-USD@stampli.com,APRIO LLC,CITI,Nacha,Bank,USD,5335.55,5335.55,5335.55,0,Domestic,false,false,Stampli,,,,,,,,,,,,,,,,
transaction,offline_billing,Stampli,2026-05,7354505,Domestic,Standard,ACH,Bank,Bank,USD,USD,US,US,1904870,payment,2026-04-28,2026-05-04,2026-05,86252401517761789293b7603ed37244364a04d8da2c86b5a6d@stampli.com,Lynchburg Health,hrtgcs-625e8f78-ac0a-4aa9-8e92-6261aca54a37-USD@stampli.com,Allstate Medical,CITI,Nacha,Bank,USD,327.49,327.49,327.49,0,Domestic,false,false,Stampli,,,,,,,,,,,,,,,,
transaction,offline_billing,Stampli,2026-05,7341444,Domestic,Standard,ACH,Bank,Bank,USD,USD,US,US,1841085,payment,2026-04-27,2026-05-01,2026-05,8145404381770813496137a946464004eeebb8d94f44e4a86f6@stampli.com,"Intersect USA, LLC",intersect-b5dee9f5-d347-4c57-beb4-61e05355d93f-USD@stampli.com,"TrySparrow.com, Inc",CITI,Nacha,Bank,USD,4800,4800,4800,0,Domestic,false,false,Stampli,,,,,,,,,,,,,,,,
transaction,offline_billing,Stampli,2026-05,7341072,Domestic,Standard,ACH,Bank,Bank,USD,USD,US,US,1736725,payment,2026-04-27,2026-05-01,2026-05,2084575421761677129757af853d46e4a50892372a66af4410d@stampli.com,"RFD-TV, LLC",rfdtv-196bc479-d2e0-4c4f-8332-284150f734af-USD@stampli.com,WideOrbit,CITI,Nacha,Bank,USD,16709.78,16709.78,16709.78,0,Domestic,false,false,Stampli,,,,,,,,,,,,,,,,
transaction,offline_billing,Stampli,2026-05,7355243,Domestic,Standard,ACH,Bank,Bank,USD,USD,US,US,1904872,payment,2026-04-28,2026-05-04,2026-05,8625238881776178934566a6107a30a4beab890702f33ba8e5e@stampli.com,Alamance Health Care Center,hrtgcs-833bf914-6a65-42cd-88db-2210e334060c-USD@stampli.com,Medline Industries Inc.,CITI,Nacha,Bank,USD,18535.44,18535.44,18535.44,0,Domestic,false,false,Stampli,,,,,,,,,,,,,,,,
transaction,offline_billing,Stampli,2026-05,7336041,USD Abroad,Standard,Wire,Bank,Bank,USD,USD,US,PH,1516993,payment,2026-04-24,2026-05-02,2026-05,2728303581740539810f19ab9f6ef424b618d9209459a51cca1@stampli.com,Skybound LLC,skyboundap-849ccccc-2eb4-4b5f-bb18-09ffa1df6810-USD@stampli.com,Romulo V. Fajardo Jr.,CITI,Nacha,Bank,USD,150,150,150,0,USD Abroad,false,false,Stampli,,,,,,,,,,,,,,,,
